Company Name,Price,Volume,MACD hist,ADX,ATR,EMA 200,RSI,Stochastic Oscillator,MACD hist sloap*,EMA 200 Sloap
ABB India Ltd.,8398.349609375,229725,56.332914335796545,63.93258627185683,231.15168060852267,5365.526847950721,76.95623654447877,88.7896385468837,-25.04137239149935,0.0036293595987071684
ACC Ltd.,2585.10009765625,374623,18.786460356494302,19.352197730899125,65.31242306251262,2307.724542304618,59.69353450835503,76.54341096698113,-1.0870064246833735,0.0010783698573845013
APL Apollo Tubes Ltd.,1664.3499755859375,365615,9.741871399292933,14.093565917384593,49.69867437653195,1513.528469085087,60.520557430752625,77.71645486470781,-3.890790759696312,0.0009107423663408058
AU Small Finance Bank Ltd.,634.5999755859375,5536297,-1.4186062252609877,19.693801277655563,16.980762864959363,658.9636605510966,56.02477403502424,70.4239131395274,1.3220558630889343,-0.00038585118948766936
Adani Energy Solutions Ltd.,1104.3499755859375,1907764,10.921948371504016,20.71123689160126,37.694099608816614,,65.13868140048045,72.62612052304101,0.3807823539973896,
Adani Enterprises Ltd.,3289.050048828125,2582128,53.32167815369205,28.144960222249303,104.61129308595086,2874.896199079699,62.7792581428819,75.9492733004079,-3.72171190832794,0.0012655174554766185
Adani Green Energy Ltd.,1929.5,4354044,20.33759366225262,20.38957813986847,63.77222476802926,1567.4468157666581,66.18716633842243,90.1940950334386,0.8633851827762022,0.0018858385434993305
Adani Ports and Special Economic Zone Ltd.,1431.6500244140625,5516732,14.253634626730491,19.266554201198833,42.16627112359718,1114.9362735797329,66.01573562180857,88.29761865929089,0.3723736419552104,0.0022233455927939045
Adani Power Ltd.,704.8499755859375,3511028,9.638761751822212,26.52993402786603,25.64267384793453,494.1493497220513,73.5787771340858,89.43279743825393,-0.6530029679213598,0.0030043190794288802
Adani Total Gas Ltd.,972.5999755859375,1822094,10.88952820403146,18.412251119157265,32.83252994532864,975.1629765238837,63.164277111618155,77.72182569222461,0.5950578664854245,-2.648447876098774e-05
Aditya Birla Capital Ltd.,226.85000610351562,10912195,-0.6435365475236177,25.808632095933994,7.669731487489121,186.33494523951404,59.52886151364385,72.12477349764842,0.0478095568387662,0.0017949593581273885
Aditya Birla Fashion and Retail Ltd.,286.1000061035156,5505100,2.1314484483645515,35.251624091852,10.798509986857368,235.93871427170478,69.75023878330029,85.22269494958731,-0.10335496278320022,0.0017620886944929427
Alkem Laboratories Ltd.,5337.2998046875,395885,23.376684066859283,32.577422377519795,163.75913507926936,4601.327179960603,59.72336121626304,58.94602634934127,-11.409055542394938,0.0013858524098185848
Ambuja Cements Ltd.,632.5,1631836,3.485653592496572,16.543501053565116,18.028458964091325,538.7465571023338,57.00349706205266,72.07308324833957,-0.4760250173393774,0.0014897164541705955
Apollo Hospitals Enterprise Ltd.,5939.2998046875,189600,16.607839997003552,22.757900503847146,121.14836532350843,5725.6458581886145,45.90706037610195,58.61758961397059,2.1530456297512615,0.00036153686710930344
Apollo Tyres Ltd.,476.95001220703125,5616368,-0.4878534922559338,14.178558518682536,15.680525384404293,451.84396205336674,45.24838857922876,35.19610236672794,-0.4162193980528677,0.0005290326148217411
Ashok Leyland Ltd.,226.6999969482422,82839919,1.3644508654788883,36.1598688475667,7.03572159205775,176.2877803065567,76.70776452687231,95.81697750714869,0.7863126275477281,0.0022349159702489993
Asian Paints Ltd.,2872.300048828125,816639,5.314017537469502,14.632408213149983,61.771101804409874,3014.4049675572164,51.4501521808467,67.88653705390112,-0.18421701124118517,-0.0004972287413230318
Astral Ltd.,2174.25,1501230,-5.3060207804980095,24.099239484909713,71.75408223108614,1937.9270743295765,56.12476983940576,44.61753324747777,1.0612364122745532,0.001092378880352865
Aurobindo Pharma Ltd.,1196.3499755859375,4238346,4.664868476784118,27.475200280697543,34.650729119594644,994.9230216036149,58.77481420349675,66.79005135004365,-2.7710287705801555,0.0016921398743025167
